storm_id,dates,lats,lons,wind_speed,pa,storm_start_time,time_since_start_hours
1,2020-12-29 00:00:00,-13.30729,87.1875,12.59899,100086.1,2020-12-29 00:00:00,0
1,2020-12-29 12:00:00,-13.30729,85.78125,12.678,100044.7,2020-12-29 00:00:00,12
1,2020-12-29 18:00:00,-13.30729,85.78125,12.70869,100270.3,2020-12-29 00:00:00,18
1,2020-12-30 00:00:00,-13.30729,82.96875,14.13654,100183.2,2020-12-29 00:00:00,24
1,2020-12-30 06:00:00,-13.30729,82.96875,13.66591,99974.4,2020-12-29 00:00:00,30
1,2020-12-30 12:00:00,-13.30729,81.5625,15.0578,100169.0,2020-12-29 00:00:00,36
1,2020-12-30 18:00:00,-13.30729,80.15625,15.79473,99963.71,2020-12-29 00:00:00,42
1,2020-12-31 00:00:00,-13.30729,77.34375,16.60469,99853.44,2020-12-29 00:00:00,48
1,2020-12-31 06:00:00,-13.30729,77.34375,17.65427,100079.7,2020-12-29 00:00:00,54
1,2020-12-31 12:00:00,-13.30729,75.9375,18.63817,99797.6,2020-12-29 00:00:00,60
1,2020-12-31 18:00:00,-13.30729,74.53125,19.08504,99912.09,2020-12-29 00:00:00,66
1,2021-01-01 00:00:00,-13.30729,73.125,18.90841,99777.0,2020-12-29 00:00:00,72
1,2021-01-01 06:00:00,-14.708057,71.71875,19.88068,99456.04,2020-12-29 00:00:00,78
1,2021-01-01 12:00:00,-14.708057,71.71875,21.58198,99648.38,2020-12-29 00:00:00,84
1,2021-01-01 18:00:00,-14.708057,70.3125,19.8545,99539.38,2020-12-29 00:00:00,90
1,2021-01-02 00:00:00,-17.509591,70.3125,20.9327,99490.91,2020-12-29 00:00:00,96
1,2021-01-02 06:00:00,-17.509591,68.90625,20.59678,99592.3,2020-12-29 00:00:00,102
1,2021-01-02 12:00:00,-18.910357,68.90625,22.37171,99452.28,2020-12-29 00:00:00,108
1,2021-01-02 18:00:00,-20.311124,67.5,20.28216,99894.24,2020-12-29 00:00:00,114
1,2021-01-03 00:00:00,-21.71189,66.09375,20.03733,100036.1,2020-12-29 00:00:00,120
1,2021-01-03 06:00:00,-21.71189,66.09375,16.854,99934.63,2020-12-29 00:00:00,126
2,2021-01-03 18:00:00,39.921816,307.96875,17.44225,99374.19,2021-01-03 18:00:00,0
2,2021-01-04 00:00:00,42.723335,310.78125,18.49926,98617.65,2021-01-03 18:00:00,6
2,2021-01-04 06:00:00,44.124093,310.78125,18.87864,98000.94,2021-01-03 18:00:00,12
2,2021-01-04 12:00:00,44.124093,310.78125,19.85482,98027.23,2021-01-03 18:00:00,18
2,2021-01-04 18:00:00,44.124093,312.1875,20.40627,98007.38,2021-01-03 18:00:00,24
2,2021-01-05 00:00:00,46.925606,312.1875,14.42407,98132.24,2021-01-03 18:00:00,30
2,2021-01-05 06:00:00,46.925606,312.1875,14.33052,98451.24,2021-01-03 18:00:00,36
2,2021-01-05 12:00:00,46.925606,312.1875,13.87197,98681.52,2021-01-03 18:00:00,42
2,2021-01-05 18:00:00,46.925606,313.59375,13.0242,99253.67,2021-01-03 18:00:00,48
2,2021-01-06 06:00:00,45.52485,317.8125,13.86041,99767.19,2021-01-03 18:00:00,60
